name,year,miles,price,accidents,Owner,exterior_color,interior_color
Kia Forte,2022,41406,15988,0,1,Gray,Black
Chevrolet Silverado 1500,2021,15138,38008,1,1,White,Black
Toyota RAV4,2022,32879,24988,0,1,Silver,Unknown
Honda Civic,2020,37190,18998,0,1,Blue,Black
Honda Civic,2020,27496,19498,0,1,Black,Black
Honda Civic,2020,29026,21000,1,1,Silver,Black
Honda Accord,2019,4148,20998,1,1,Black,Black
Mercedes-Benz GLC,2018,57602,18887,1,3,Blue,Unknown
Honda Civic,2020,50240,19498,1,1,Black,Black
BMW 5 Series,2013,56766,17998,0,3,White,Black
Jeep Wrangler,2018,44099,30998,0,2,Gray,Black
Honda Civic,2020,11140,20998,0,1,Black,Black
Honda Civic,2020,8506,22597,0,1,Gray,Black
Mercedes-Benz GLC,2021,38760,29998,0,1,Black,Black
Porsche Macan,2020,27002,39998,0,2,White,Black
Honda Civic,2021,22850,21998,0,1,White,Black
Buick Cascada,2016,68660,17998,1,2,White,Beige
BMW 3 Series,2014,55079,17998,0,2,White,Black
Jeep Grand Cherokee,2017,64337,19598,0,2,White,Black
Mercedes-Benz C-Class,2018,83424,18285,1,2,White,Black
Porsche Cayenne,2021,21991,102167,0,1,Silver,Black
Honda Odyssey,2019,61318,26998,0,1,Black,Brown
Mercedes-Benz GLC,2020,36064,26839,1,1,White,Unknown
BMW 7 Series,2015,57707,27998,0,3,White,Black
Mercedes-Benz GLC,2020,38981,26518,1,1,Black,Black
Kia K5,2022,33632,19988,0,1,White,Black
Nissan Kicks,2021,51560,16488,0,1,Gray,Black
Mercedes-Benz C-Class,2021,18769,29990,0,1,Silver,Unknown
Honda CR-V,2020,74031,23998,0,1,Gray,Gray
Honda Civic,2020,16112,20998,0,1,White,Beige
Honda CR-V,2019,17123,24498,1,1,Gray,Black
Honda Civic,2016,71406,16498,1,2,Gray,Gray
Chrysler Pacifica,2018,73428,19998,0,2,White,Black
Volkswagen Tiguan,2020,28897,20998,1,1,White,Black
